_back,_rand,_degree,_adpDegree,_finder,_MS,_PR,_DND,_Core
0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
0.48,0.54,0.56,0.56,0.56,0.56,0.56,0.48,0.56
0.46,0.52,0.54,0.54,0.56,0.56,0.56,0.44,0.54
0.44,0.5,0.52,0.52,0.56,0.54,0.56,0.42,0.52
0.26,0.48,0.5,0.5,0.56,0.5,0.56,0.3,0.5
0.14,0.48,0.48,0.48,0.56,0.46,0.56,0.26,0.48
0.14,0.46,0.46,0.46,0.54,0.46,0.56,0.26,0.46
0.08,0.46,0.44,0.44,0.48,0.36,0.48,0.24,0.44
0.08,0.46,0.4,0.4,0.44,0.36,0.38,0.22,0.4
0.08,0.46,0.34,0.34,0.36,0.36,0.38,0.18,0.34
0.04,0.46,0.32,0.32,0.36,0.36,0.38,0.18,0.32
0.04,0.44,0.28,0.26,0.3,0.36,0.38,0.18,0.26
0.04,0.42,0.18,0.22,0.3,0.36,0.38,0.18,0.22
0.04,0.38,0.04,0.22,0.3,0.32,0.38,0.18,0.22
0.04,0.36,0.04,0.22,0.28,0.32,0.3,0.18,0.22
0.04,0.34,0.04,0.22,0.28,0.32,0.3,0.16,0.22
0.04,0.32,0.04,0.04,0.28,0.32,0.26,0.14,0.04
0.04,0.32,0.04,0.04,0.22,0.3,0.26,0.14,0.04
0.02,0.16,0.04,0.04,0.22,0.28,0.26,0.14,0.04
0.02,0.16,0.04,0.04,0.2,0.28,0.26,0.12,0.04
0.02,0.16,0.04,0.04,0.2,0.28,0.24,0.12,0.04
0.02,0.12,0.04,0.02,0.2,0.26,0.24,0.12,0.04
0.02,0.12,0.04,0.02,0.2,0.24,0.22,0.08,0.04
0.02,0.12,0.04,0.02,0.16,0.24,0.22,0.06,0.04
0.02,0.1,0.02,0.02,0.16,0.24,0.14,0.06,0.04
0.02,0.1,0.02,0.02,0.16,0.24,0.14,0.06,0.04
0.02,0.1,0.02,0.02,0.16,0.24,0.14,0.04,0.04
0.02,0.1,0.02,0.02,0.14,0.24,0.14,0.04,0.04
0.02,0.1,0.02,0.02,0.12,0.22,0.14,0.02,0.04
0.02,0.1,0.02,0.02,0.08,0.22,0.14,0.02,0.04
0.02,0.1,0.02,0.02,0.08,0.22,0.14,0.02,0.02
0.02,0.1,0.02,0.02,0.08,0.2,0.1,0.02,0.02
0.02,0.1,0.02,0.02,0.08,0.12,0.08,0.02,0.02
0.02,0.1,0.02,0.02,0.04,0.12,0.08,0.02,0.02
0.02,0.08,0.02,0.02,0.04,0.08,0.04,0.02,0.02
0.02,0.08,0.02,0.02,0.04,0.08,0.04,0.02,0.02
0.02,0.08,0.02,0.02,0.02,0.06,0.04,0.02,0.02
0.02,0.06,0.02,0.02,0.02,0.06,0.04,0.02,0.02
0.02,0.04,0.02,0.02,0.02,0.04,0.04,0.02,0.02
0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02
0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02
0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02
0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
