_back,_rand,_degree,_adpDegree,_finder,_MS,_PR,_DND,_Core
0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875,0.71875
0.6875,0.6875,0.6875,0.6875,0.6875,0.71875,0.6875,0.6875,0.6875
0.3125,0.65625,0.65625,0.65625,0.65625,0.6875,0.65625,0.65625,0.65625
0.25,0.65625,0.28125,0.5,0.28125,0.65625,0.5,0.625,0.5
0.25,0.59375,0.21875,0.1875,0.21875,0.4375,0.4375,0.59375,0.1875
0.25,0.5625,0.1875,0.1875,0.1875,0.4375,0.28125,0.1875,0.1875
0.0625,0.5625,0.1875,0.09375,0.0625,0.4375,0.28125,0.09375,0.09375
0.0625,0.28125,0.1875,0.0625,0.0625,0.4375,0.1875,0.0625,0.0625
0.0625,0.1875,0.1875,0.0625,0.0625,0.40625,0.0625,0.0625,0.0625
0.0625,0.1875,0.09375,0.0625,0.0625,0.375,0.0625,0.0625,0.0625
0.0625,0.1875,0.09375,0.0625,0.0625,0.375,0.0625,0.0625,0.0625
0.0625,0.1875,0.0625,0.0625,0.0625,0.34375,0.0625,0.0625,0.0625
0.0625,0.1875,0.0625,0.0625,0.0625,0.34375,0.03125,0.0625,0.03125
0.0625,0.1875,0.0625,0.03125,0.0625,0.28125,0.03125,0.0625,0.03125
0.0625,0.15625,0.0625,0.03125,0.0625,0.125,0.03125,0.03125,0.03125
0.0625,0.15625,0.0625,0.03125,0.0625,0.125,0.03125,0.03125,0.03125
0.0625,0.15625,0.0625,0.03125,0.0625,0.125,0.03125,0.03125,0.03125
0.0625,0.0625,0.03125,0.03125,0.0625,0.125,0.03125,0.03125,0.03125
0.0625,0.0625,0.03125,0.03125,0.0625,0.125,0.03125,0.03125,0.03125
0.03125,0.0625,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.0625,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.0625,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.0625,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.0625,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.125,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.09375,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.09375,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
