_back,_rand,_degree,_adpDegree,_finder,_MS,_PR,_DND,_Core
0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
0.42,0.52,0.42,0.42,0.5,0.42,0.42,0.5,0.42
0.14,0.52,0.14,0.14,0.38,0.4,0.38,0.5,0.38
0.14,0.52,0.14,0.08,0.36,0.14,0.14,0.38,0.14
0.14,0.52,0.14,0.08,0.32,0.14,0.04,0.14,0.04
0.04,0.52,0.14,0.08,0.28,0.04,0.04,0.14,0.04
0.04,0.52,0.04,0.08,0.28,0.04,0.04,0.14,0.04
0.02,0.52,0.04,0.08,0.28,0.02,0.02,0.04,0.02
0.02,0.42,0.04,0.02,0.28,0.02,0.02,0.04,0.02
0.02,0.36,0.04,0.02,0.24,0.02,0.02,0.02,0.02
0.02,0.34,0.02,0.02,0.18,0.02,0.02,0.02,0.02
0.02,0.34,0.02,0.02,0.14,0.02,0.02,0.02,0.02
0.02,0.3,0.02,0.02,0.14,0.02,0.02,0.02,0.02
0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
