_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
0.037,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
0.037,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
0.037,0.037,0.012,0.012,0.063,0.014,0.063,0.063,0.012
0.037,0.037,0.012,0.012,0.063,0.014,0.063,0.061,0.012
0.037,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.037,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.037,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.037,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.037,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.021,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.014,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.005,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.005,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.053,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.049,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.047,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.012,0.047,0.014,0.063,0.061,0.012
0.003,0.037,0.012,0.011,0.047,0.012,0.063,0.061,0.011
0.003,0.037,0.012,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.037,0.012,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.037,0.012,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.037,0.011,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.037,0.011,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.037,0.011,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.037,0.011,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.047,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.046,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.043,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.043,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.011,0.043,0.012,0.063,0.061,0.011
0.002,0.033,0.011,0.008,0.043,0.012,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.012,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.012,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.002,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.001,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.001,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.001,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.001,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.001,0.033,0.011,0.008,0.043,0.011,0.063,0.061,0.008
0.001,0.033,0.006,0.008,0.043,0.011,0.063,0.058,0.008
0.001,0.033,0.006,0.008,0.043,0.011,0.063,0.058,0.008
0.001,0.033,0.006,0.008,0.043,0.011,0.063,0.058,0.008
0.001,0.033,0.006,0.008,0.043,0.011,0.063,0.058,0.008
0.001,0.033,0.006,0.008,0.043,0.011,0.063,0.058,0.008
0.001,0.033,0.003,0.008,0.043,0.011,0.063,0.058,0.008
0.001,0.033,0.003,0.003,0.043,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.043,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.058,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.041,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.048,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.025,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.025,0.003
0.001,0.033,0.003,0.003,0.04,0.011,0.063,0.025,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.025,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.017,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.011,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.031,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.03,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
0.001,0.033,0.003,0.003,0.012,0.007,0.063,0.003,0.003
