_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.424
0.312,0.423,0.423,0.423,0.424,0.423,0.424,0.424,0.423
0.31,0.423,0.422,0.422,0.424,0.422,0.424,0.423,0.422
0.254,0.423,0.422,0.422,0.424,0.306,0.424,0.421,0.422
0.252,0.422,0.422,0.422,0.424,0.306,0.424,0.421,0.422
0.252,0.421,0.419,0.421,0.424,0.306,0.424,0.309,0.421
0.249,0.42,0.418,0.419,0.423,0.306,0.424,0.309,0.419
0.249,0.42,0.416,0.418,0.422,0.305,0.424,0.309,0.418
0.248,0.42,0.415,0.415,0.397,0.304,0.424,0.309,0.415
0.206,0.42,0.414,0.414,0.396,0.303,0.424,0.309,0.414
0.102,0.42,0.413,0.414,0.396,0.302,0.424,0.309,0.414
0.102,0.42,0.412,0.413,0.396,0.301,0.424,0.308,0.413
0.102,0.42,0.412,0.412,0.395,0.3,0.424,0.308,0.412
0.102,0.256,0.411,0.411,0.395,0.3,0.424,0.306,0.411
0.102,0.256,0.41,0.411,0.38,0.298,0.424,0.305,0.411
0.102,0.256,0.409,0.411,0.38,0.298,0.424,0.305,0.411
0.102,0.256,0.382,0.411,0.38,0.298,0.424,0.305,0.411
0.102,0.256,0.38,0.411,0.38,0.298,0.424,0.305,0.411
0.088,0.256,0.38,0.41,0.38,0.298,0.424,0.305,0.41
0.085,0.256,0.38,0.409,0.38,0.298,0.424,0.305,0.409
0.075,0.256,0.38,0.408,0.377,0.289,0.424,0.305,0.408
0.072,0.256,0.38,0.407,0.377,0.289,0.424,0.305,0.407
0.072,0.256,0.379,0.406,0.377,0.288,0.424,0.305,0.406
0.072,0.255,0.378,0.405,0.375,0.287,0.424,0.305,0.405
0.072,0.255,0.378,0.405,0.374,0.287,0.424,0.305,0.405
0.058,0.255,0.378,0.404,0.373,0.286,0.424,0.305,0.404
0.057,0.255,0.378,0.404,0.372,0.286,0.424,0.303,0.404
0.057,0.254,0.377,0.403,0.372,0.286,0.424,0.303,0.403
0.057,0.253,0.371,0.403,0.371,0.286,0.424,0.303,0.403
0.057,0.253,0.369,0.402,0.37,0.285,0.424,0.303,0.402
0.057,0.253,0.368,0.399,0.37,0.285,0.424,0.303,0.399
0.048,0.253,0.368,0.399,0.37,0.285,0.424,0.303,0.399
0.048,0.253,0.367,0.398,0.369,0.284,0.424,0.302,0.398
0.048,0.253,0.366,0.397,0.369,0.284,0.424,0.301,0.397
0.046,0.253,0.365,0.395,0.368,0.284,0.424,0.301,0.395
0.046,0.253,0.365,0.395,0.368,0.283,0.424,0.299,0.395
0.046,0.253,0.364,0.394,0.368,0.28,0.424,0.299,0.394
0.046,0.253,0.361,0.394,0.367,0.28,0.424,0.299,0.394
0.046,0.253,0.36,0.394,0.366,0.279,0.424,0.299,0.394
0.046,0.253,0.359,0.394,0.366,0.279,0.424,0.299,0.394
0.046,0.253,0.359,0.394,0.366,0.278,0.424,0.299,0.394
0.046,0.253,0.358,0.394,0.366,0.278,0.424,0.299,0.394
0.046,0.253,0.358,0.393,0.365,0.278,0.424,0.298,0.393
0.046,0.253,0.357,0.392,0.362,0.278,0.424,0.298,0.392
0.046,0.253,0.357,0.392,0.362,0.278,0.424,0.298,0.392
0.046,0.253,0.356,0.391,0.362,0.278,0.424,0.297,0.391
0.046,0.253,0.355,0.39,0.362,0.277,0.424,0.297,0.39
0.046,0.253,0.354,0.388,0.362,0.276,0.424,0.297,0.388
0.046,0.253,0.354,0.388,0.361,0.276,0.424,0.297,0.388
0.046,0.253,0.354,0.387,0.361,0.276,0.424,0.296,0.387
0.046,0.253,0.352,0.386,0.361,0.276,0.424,0.296,0.386
0.046,0.253,0.351,0.386,0.358,0.276,0.424,0.296,0.386
0.046,0.253,0.35,0.385,0.358,0.276,0.424,0.296,0.385
0.046,0.252,0.35,0.353,0.357,0.275,0.424,0.294,0.353
0.046,0.252,0.349,0.353,0.357,0.275,0.424,0.294,0.353
0.046,0.252,0.349,0.352,0.357,0.274,0.424,0.287,0.352
0.046,0.252,0.349,0.352,0.356,0.273,0.424,0.287,0.352
0.046,0.251,0.349,0.352,0.356,0.273,0.424,0.287,0.352
0.046,0.251,0.349,0.351,0.355,0.273,0.424,0.287,0.351
0.037,0.249,0.349,0.35,0.354,0.273,0.424,0.286,0.35
0.037,0.248,0.349,0.255,0.354,0.273,0.424,0.286,0.255
0.037,0.247,0.344,0.255,0.354,0.272,0.424,0.286,0.255
0.037,0.247,0.344,0.25,0.354,0.272,0.424,0.286,0.25
0.037,0.245,0.344,0.25,0.354,0.271,0.424,0.286,0.25
0.037,0.244,0.343,0.25,0.354,0.271,0.424,0.286,0.25
0.037,0.244,0.343,0.25,0.354,0.271,0.424,0.286,0.25
0.037,0.243,0.342,0.25,0.354,0.271,0.424,0.282,0.25
0.037,0.243,0.341,0.25,0.354,0.271,0.424,0.282,0.25
0.037,0.243,0.34,0.249,0.354,0.271,0.424,0.282,0.249
0.037,0.243,0.181,0.249,0.353,0.271,0.424,0.281,0.249
0.037,0.243,0.181,0.248,0.353,0.271,0.424,0.281,0.248
0.037,0.185,0.181,0.248,0.353,0.27,0.424,0.281,0.248
0.037,0.185,0.181,0.246,0.353,0.27,0.424,0.28,0.246
0.037,0.184,0.181,0.245,0.352,0.27,0.41,0.279,0.245
0.037,0.184,0.181,0.245,0.352,0.27,0.41,0.279,0.245
0.037,0.184,0.181,0.245,0.351,0.27,0.41,0.173,0.245
0.037,0.184,0.181,0.244,0.351,0.27,0.41,0.173,0.244
0.037,0.184,0.181,0.243,0.35,0.27,0.41,0.173,0.243
0.037,0.184,0.181,0.243,0.35,0.23,0.41,0.173,0.243
0.02,0.184,0.181,0.243,0.35,0.23,0.41,0.173,0.243
0.02,0.184,0.181,0.243,0.349,0.23,0.41,0.172,0.243
0.02,0.183,0.179,0.243,0.349,0.23,0.41,0.172,0.243
0.02,0.183,0.179,0.242,0.349,0.229,0.41,0.172,0.242
0.02,0.18,0.178,0.241,0.349,0.228,0.41,0.172,0.241
0.02,0.18,0.178,0.24,0.346,0.228,0.41,0.171,0.24
0.02,0.18,0.178,0.24,0.346,0.228,0.41,0.171,0.24
0.02,0.18,0.178,0.24,0.345,0.228,0.41,0.171,0.24
0.02,0.18,0.178,0.24,0.345,0.228,0.41,0.17,0.24
0.02,0.18,0.178,0.093,0.345,0.228,0.41,0.168,0.093
0.02,0.18,0.178,0.093,0.344,0.228,0.41,0.168,0.093
0.014,0.18,0.178,0.093,0.343,0.227,0.41,0.168,0.093
0.014,0.18,0.177,0.093,0.343,0.227,0.41,0.168,0.093
0.014,0.18,0.177,0.092,0.342,0.227,0.41,0.161,0.092
0.014,0.18,0.177,0.092,0.342,0.227,0.41,0.161,0.092
0.014,0.179,0.177,0.092,0.341,0.227,0.41,0.161,0.092
0.014,0.178,0.177,0.092,0.341,0.227,0.41,0.161,0.092
0.014,0.178,0.177,0.092,0.341,0.227,0.41,0.161,0.092
0.014,0.178,0.176,0.092,0.341,0.227,0.41,0.161,0.092
0.014,0.177,0.176,0.092,0.341,0.227,0.41,0.161,0.092
0.014,0.177,0.176,0.092,0.341,0.224,0.41,0.161,0.092
0.014,0.177,0.176,0.092,0.341,0.223,0.41,0.161,0.092
0.014,0.177,0.176,0.092,0.34,0.223,0.41,0.16,0.092
