_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
0.069,0.07,0.069,0.069,0.07,0.07,0.07,0.07,0.069
0.007,0.07,0.068,0.068,0.07,0.07,0.07,0.07,0.068
0.005,0.07,0.037,0.037,0.07,0.069,0.07,0.07,0.037
0.005,0.07,0.037,0.037,0.017,0.069,0.07,0.07,0.037
0.004,0.07,0.037,0.037,0.017,0.069,0.07,0.07,0.037
0.001,0.07,0.007,0.007,0.017,0.069,0.07,0.07,0.007
0.001,0.07,0.007,0.007,0.017,0.069,0.07,0.07,0.007
0.001,0.07,0.007,0.007,0.017,0.069,0.07,0.07,0.007
0.001,0.07,0.003,0.003,0.017,0.068,0.07,0.069,0.003
0.001,0.07,0.001,0.003,0.017,0.068,0.07,0.069,0.003
0.001,0.07,0.001,0.001,0.017,0.067,0.07,0.069,0.001
0.001,0.07,0.001,0.001,0.017,0.067,0.07,0.069,0.001
0.001,0.07,0.001,0.001,0.017,0.066,0.07,0.069,0.001
0.001,0.069,0.001,0.001,0.017,0.066,0.07,0.069,0.001
0.001,0.069,0.001,0.001,0.017,0.065,0.07,0.069,0.001
0.001,0.069,0.001,0.001,0.017,0.065,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.064,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.064,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.069,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.068,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.068,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.067,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.067,0.001,0.001,0.017,0.014,0.07,0.068,0.001
0.001,0.067,0.001,0.001,0.017,0.014,0.07,0.068,0.001
