_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808,0.808
0.807,0.807,0.364,0.364,0.807,0.807,0.807,0.807,0.364
0.806,0.806,0.364,0.364,0.807,0.806,0.807,0.806,0.364
0.364,0.806,0.364,0.364,0.806,0.779,0.807,0.805,0.364
0.364,0.8,0.364,0.362,0.805,0.778,0.807,0.804,0.362
0.364,0.8,0.362,0.362,0.804,0.777,0.807,0.803,0.362
0.364,0.8,0.362,0.362,0.804,0.776,0.807,0.802,0.362
0.362,0.799,0.362,0.362,0.803,0.776,0.807,0.8,0.362
0.295,0.797,0.358,0.358,0.802,0.776,0.724,0.799,0.358
0.107,0.796,0.358,0.358,0.802,0.776,0.724,0.798,0.358
0.088,0.795,0.357,0.357,0.801,0.776,0.724,0.796,0.357
0.088,0.794,0.357,0.357,0.278,0.775,0.724,0.795,0.357
0.088,0.792,0.355,0.355,0.273,0.775,0.724,0.794,0.355
0.088,0.791,0.355,0.355,0.272,0.775,0.598,0.793,0.355
0.088,0.786,0.355,0.355,0.272,0.774,0.598,0.792,0.355
0.088,0.785,0.332,0.355,0.272,0.773,0.598,0.791,0.355
0.088,0.784,0.332,0.321,0.272,0.771,0.576,0.79,0.321
0.076,0.783,0.322,0.289,0.266,0.77,0.576,0.789,0.289
0.064,0.782,0.322,0.278,0.266,0.769,0.576,0.788,0.278
0.064,0.781,0.278,0.278,0.265,0.768,0.576,0.786,0.278
0.064,0.78,0.273,0.278,0.265,0.765,0.576,0.785,0.278
0.064,0.779,0.273,0.277,0.265,0.764,0.576,0.784,0.277
0.064,0.778,0.272,0.272,0.265,0.763,0.576,0.783,0.272
0.064,0.777,0.272,0.272,0.265,0.763,0.576,0.782,0.272
0.049,0.776,0.272,0.272,0.264,0.763,0.576,0.781,0.272
0.049,0.776,0.272,0.272,0.264,0.762,0.576,0.78,0.272
0.022,0.775,0.272,0.272,0.264,0.761,0.576,0.779,0.272
0.022,0.774,0.272,0.272,0.263,0.76,0.576,0.778,0.272
0.022,0.312,0.272,0.272,0.263,0.759,0.576,0.777,0.272
0.005,0.309,0.272,0.271,0.263,0.758,0.518,0.776,0.271
0.005,0.309,0.272,0.271,0.261,0.757,0.518,0.775,0.271
0.005,0.309,0.272,0.27,0.261,0.757,0.518,0.356,0.27
0.005,0.309,0.272,0.27,0.246,0.755,0.518,0.354,0.27
0.005,0.309,0.272,0.27,0.246,0.754,0.518,0.353,0.27
0.005,0.309,0.272,0.27,0.246,0.753,0.518,0.352,0.27
0.005,0.309,0.272,0.269,0.246,0.753,0.15,0.351,0.269
0.005,0.309,0.266,0.269,0.229,0.753,0.15,0.347,0.269
0.005,0.309,0.266,0.269,0.229,0.752,0.15,0.346,0.269
0.005,0.308,0.266,0.269,0.229,0.751,0.15,0.344,0.269
0.005,0.306,0.266,0.269,0.229,0.75,0.15,0.343,0.269
0.005,0.305,0.266,0.269,0.229,0.749,0.15,0.342,0.269
0.005,0.305,0.266,0.269,0.229,0.748,0.15,0.342,0.269
0.005,0.305,0.266,0.269,0.229,0.747,0.15,0.342,0.269
0.005,0.305,0.266,0.269,0.228,0.746,0.15,0.341,0.269
0.005,0.302,0.266,0.267,0.228,0.744,0.15,0.341,0.267
0.005,0.302,0.266,0.255,0.228,0.743,0.15,0.34,0.255
0.005,0.3,0.266,0.255,0.228,0.728,0.15,0.34,0.255
0.005,0.3,0.266,0.255,0.228,0.727,0.15,0.34,0.255
0.005,0.299,0.266,0.254,0.227,0.726,0.15,0.339,0.254
0.005,0.299,0.266,0.254,0.225,0.726,0.15,0.339,0.254
0.005,0.299,0.266,0.254,0.225,0.725,0.15,0.339,0.254
0.005,0.298,0.266,0.254,0.225,0.724,0.15,0.338,0.254
0.005,0.297,0.265,0.254,0.225,0.723,0.15,0.338,0.254
0.005,0.295,0.265,0.254,0.225,0.722,0.15,0.337,0.254
0.005,0.292,0.265,0.254,0.225,0.72,0.15,0.337,0.254
0.005,0.13,0.264,0.254,0.225,0.719,0.15,0.337,0.254
0.005,0.13,0.264,0.254,0.225,0.719,0.15,0.336,0.254
0.005,0.13,0.264,0.252,0.225,0.719,0.15,0.335,0.252
0.005,0.13,0.264,0.252,0.225,0.718,0.15,0.335,0.252
0.005,0.13,0.264,0.251,0.225,0.717,0.15,0.335,0.251
0.005,0.13,0.263,0.251,0.224,0.716,0.15,0.334,0.251
0.005,0.127,0.263,0.25,0.224,0.675,0.15,0.333,0.25
0.005,0.127,0.263,0.25,0.224,0.675,0.15,0.333,0.25
0.005,0.127,0.263,0.25,0.224,0.674,0.15,0.333,0.25
0.005,0.127,0.263,0.244,0.224,0.674,0.15,0.333,0.244
0.005,0.125,0.263,0.244,0.224,0.673,0.15,0.333,0.244
0.005,0.125,0.252,0.244,0.224,0.673,0.15,0.332,0.244
0.005,0.125,0.252,0.244,0.221,0.672,0.15,0.332,0.244
0.005,0.125,0.252,0.242,0.221,0.671,0.15,0.332,0.242
0.005,0.125,0.252,0.242,0.22,0.67,0.15,0.332,0.242
0.005,0.125,0.252,0.242,0.214,0.669,0.15,0.331,0.242
0.005,0.125,0.252,0.242,0.214,0.668,0.15,0.331,0.242
0.005,0.115,0.252,0.242,0.214,0.666,0.15,0.331,0.242
0.005,0.115,0.251,0.242,0.214,0.619,0.15,0.331,0.242
0.005,0.115,0.251,0.242,0.214,0.617,0.15,0.331,0.242
0.005,0.115,0.251,0.242,0.213,0.616,0.15,0.331,0.242
0.005,0.115,0.251,0.242,0.213,0.615,0.15,0.331,0.242
0.005,0.115,0.251,0.242,0.213,0.251,0.15,0.331,0.242
