_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753,0.753
0.753,0.753,0.753,0.753,0.752,0.752,0.752,0.753,0.753
0.752,0.752,0.752,0.752,0.752,0.752,0.751,0.752,0.752
0.751,0.751,0.752,0.752,0.752,0.752,0.75,0.751,0.752
0.75,0.751,0.752,0.752,0.752,0.752,0.749,0.75,0.752
0.749,0.751,0.752,0.752,0.752,0.752,0.748,0.747,0.752
0.747,0.75,0.752,0.752,0.751,0.751,0.747,0.746,0.752
0.745,0.749,0.752,0.751,0.75,0.751,0.746,0.745,0.751
0.744,0.748,0.752,0.751,0.749,0.75,0.745,0.744,0.751
0.742,0.748,0.751,0.751,0.749,0.75,0.744,0.743,0.751
0.741,0.748,0.751,0.751,0.748,0.75,0.743,0.741,0.751
0.74,0.747,0.751,0.751,0.748,0.749,0.735,0.741,0.751
0.74,0.746,0.751,0.75,0.747,0.749,0.733,0.74,0.75
0.739,0.745,0.751,0.749,0.746,0.748,0.73,0.74,0.749
0.738,0.744,0.75,0.749,0.746,0.748,0.727,0.739,0.749
0.737,0.741,0.75,0.748,0.746,0.748,0.721,0.738,0.748
0.736,0.74,0.75,0.748,0.745,0.747,0.716,0.736,0.748
0.735,0.739,0.749,0.748,0.744,0.745,0.71,0.734,0.748
0.735,0.738,0.748,0.748,0.743,0.739,0.71,0.733,0.748
0.734,0.737,0.748,0.748,0.742,0.733,0.71,0.732,0.748
0.733,0.737,0.748,0.748,0.741,0.733,0.71,0.731,0.748
0.732,0.736,0.748,0.747,0.741,0.732,0.709,0.729,0.747
0.731,0.735,0.748,0.746,0.74,0.732,0.708,0.728,0.746
0.73,0.733,0.748,0.746,0.739,0.731,0.706,0.727,0.746
0.729,0.732,0.748,0.745,0.738,0.729,0.704,0.726,0.745
0.729,0.731,0.747,0.745,0.738,0.728,0.702,0.725,0.745
0.728,0.731,0.747,0.745,0.737,0.727,0.699,0.718,0.745
0.727,0.731,0.747,0.744,0.737,0.727,0.684,0.717,0.744
0.726,0.73,0.747,0.743,0.737,0.727,0.684,0.716,0.743
0.724,0.729,0.747,0.742,0.737,0.726,0.684,0.715,0.742
0.723,0.725,0.747,0.742,0.737,0.725,0.684,0.714,0.742
0.722,0.724,0.747,0.741,0.736,0.725,0.672,0.713,0.741
0.721,0.723,0.746,0.74,0.735,0.724,0.672,0.712,0.74
0.719,0.721,0.746,0.74,0.733,0.723,0.672,0.711,0.74
0.718,0.72,0.745,0.74,0.732,0.723,0.671,0.71,0.74
0.717,0.719,0.745,0.739,0.731,0.702,0.662,0.709,0.739
0.716,0.718,0.745,0.739,0.73,0.701,0.656,0.708,0.739
0.715,0.717,0.745,0.739,0.728,0.701,0.654,0.706,0.739
0.713,0.717,0.744,0.739,0.727,0.7,0.65,0.705,0.739
0.712,0.716,0.744,0.738,0.726,0.699,0.649,0.704,0.738
0.711,0.716,0.744,0.738,0.725,0.698,0.647,0.703,0.738
0.71,0.715,0.744,0.738,0.724,0.697,0.647,0.702,0.738
0.709,0.714,0.744,0.738,0.724,0.696,0.647,0.701,0.738
0.708,0.713,0.743,0.736,0.723,0.695,0.641,0.7,0.736
0.707,0.712,0.743,0.736,0.723,0.695,0.641,0.694,0.736
0.706,0.711,0.743,0.736,0.723,0.694,0.638,0.693,0.736
0.705,0.709,0.742,0.735,0.722,0.693,0.638,0.69,0.735
0.702,0.709,0.742,0.735,0.722,0.693,0.638,0.686,0.735
0.701,0.708,0.742,0.735,0.722,0.693,0.636,0.684,0.735
0.7,0.707,0.741,0.735,0.721,0.693,0.632,0.681,0.735
0.697,0.706,0.741,0.735,0.72,0.693,0.632,0.68,0.735
0.696,0.705,0.741,0.735,0.719,0.692,0.63,0.679,0.735
0.693,0.704,0.741,0.733,0.718,0.691,0.623,0.678,0.733
0.691,0.703,0.741,0.732,0.717,0.69,0.623,0.677,0.732
0.69,0.702,0.74,0.731,0.716,0.689,0.623,0.676,0.731
0.689,0.701,0.74,0.73,0.715,0.688,0.623,0.674,0.73
0.684,0.7,0.739,0.73,0.715,0.688,0.613,0.673,0.73
0.683,0.699,0.739,0.729,0.714,0.687,0.613,0.672,0.729
0.682,0.699,0.739,0.729,0.713,0.686,0.613,0.671,0.729
0.681,0.698,0.739,0.728,0.712,0.685,0.613,0.67,0.728
0.68,0.697,0.739,0.728,0.71,0.684,0.613,0.669,0.728
0.679,0.696,0.739,0.728,0.709,0.683,0.613,0.668,0.728
0.678,0.696,0.739,0.728,0.709,0.683,0.613,0.668,0.728
0.676,0.695,0.739,0.727,0.708,0.68,0.613,0.666,0.727
0.675,0.694,0.739,0.726,0.707,0.679,0.609,0.666,0.726
0.674,0.693,0.739,0.725,0.706,0.677,0.608,0.663,0.725
0.671,0.693,0.739,0.724,0.705,0.671,0.607,0.662,0.724
0.67,0.693,0.739,0.724,0.704,0.671,0.603,0.659,0.724
0.669,0.692,0.739,0.723,0.703,0.669,0.603,0.658,0.723
0.668,0.692,0.739,0.723,0.702,0.668,0.602,0.657,0.723
0.666,0.691,0.739,0.723,0.701,0.667,0.591,0.655,0.723
0.663,0.691,0.739,0.722,0.7,0.666,0.589,0.654,0.722
0.625,0.69,0.739,0.721,0.699,0.665,0.588,0.653,0.721
0.624,0.689,0.739,0.72,0.698,0.665,0.587,0.652,0.72
0.614,0.687,0.739,0.72,0.697,0.664,0.579,0.65,0.72
0.614,0.686,0.739,0.719,0.696,0.663,0.577,0.649,0.719
0.613,0.685,0.739,0.719,0.695,0.662,0.574,0.648,0.719
0.609,0.684,0.738,0.719,0.693,0.661,0.567,0.647,0.719
0.608,0.683,0.738,0.719,0.693,0.66,0.567,0.646,0.719
0.608,0.682,0.738,0.718,0.693,0.659,0.567,0.639,0.718
0.607,0.682,0.738,0.717,0.692,0.658,0.567,0.638,0.717
0.606,0.682,0.738,0.717,0.69,0.658,0.567,0.636,0.717
0.605,0.681,0.738,0.716,0.689,0.657,0.567,0.636,0.716
0.605,0.681,0.738,0.716,0.688,0.644,0.567,0.635,0.716
0.604,0.68,0.738,0.714,0.687,0.643,0.545,0.634,0.714
0.604,0.679,0.737,0.714,0.685,0.642,0.544,0.633,0.714
0.603,0.678,0.735,0.713,0.684,0.641,0.537,0.632,0.713
0.602,0.678,0.735,0.713,0.683,0.641,0.537,0.63,0.713
0.601,0.678,0.735,0.712,0.682,0.64,0.537,0.623,0.712
0.6,0.677,0.735,0.711,0.681,0.639,0.537,0.622,0.711
0.599,0.676,0.734,0.711,0.68,0.637,0.537,0.621,0.711
0.597,0.675,0.734,0.711,0.679,0.636,0.537,0.62,0.711
0.583,0.674,0.734,0.711,0.679,0.635,0.535,0.619,0.711
0.581,0.673,0.734,0.71,0.678,0.635,0.534,0.613,0.71
0.581,0.673,0.734,0.71,0.677,0.634,0.533,0.613,0.71
0.571,0.672,0.734,0.709,0.676,0.633,0.533,0.608,0.709
0.568,0.671,0.734,0.709,0.675,0.632,0.53,0.607,0.709
0.567,0.671,0.734,0.708,0.674,0.631,0.53,0.605,0.708
0.565,0.67,0.734,0.707,0.668,0.63,0.515,0.6,0.707
0.564,0.669,0.734,0.705,0.667,0.626,0.515,0.596,0.705
0.564,0.667,0.734,0.704,0.666,0.625,0.509,0.595,0.704
0.563,0.666,0.734,0.704,0.666,0.625,0.509,0.595,0.704
0.563,0.666,0.732,0.704,0.665,0.624,0.509,0.594,0.704
0.562,0.665,0.732,0.704,0.664,0.624,0.509,0.593,0.704
0.56,0.664,0.731,0.704,0.662,0.622,0.509,0.592,0.704
0.554,0.663,0.73,0.703,0.66,0.622,0.509,0.591,0.703
0.545,0.662,0.73,0.702,0.659,0.622,0.493,0.587,0.702
0.54,0.662,0.73,0.7,0.658,0.622,0.493,0.586,0.7
0.539,0.659,0.73,0.7,0.656,0.621,0.49,0.586,0.7
0.536,0.659,0.73,0.7,0.655,0.621,0.49,0.582,0.7
0.493,0.659,0.73,0.699,0.654,0.621,0.489,0.581,0.699
0.493,0.658,0.73,0.698,0.653,0.62,0.488,0.58,0.698
0.493,0.658,0.729,0.698,0.652,0.62,0.488,0.575,0.698
0.493,0.658,0.729,0.697,0.651,0.619,0.488,0.575,0.697
0.492,0.657,0.729,0.696,0.65,0.619,0.478,0.574,0.696
