_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.997
0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994
0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993
0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992
0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991,0.991
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989,0.989
0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988
0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987,0.987
0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986
0.985,0.985,0.981,0.985,0.985,0.985,0.985,0.985,0.985
0.984,0.984,0.98,0.984,0.984,0.984,0.984,0.984,0.984
0.983,0.983,0.979,0.979,0.983,0.983,0.983,0.983,0.979
0.982,0.982,0.978,0.978,0.982,0.982,0.982,0.982,0.978
0.981,0.981,0.977,0.977,0.981,0.981,0.981,0.981,0.977
0.98,0.98,0.976,0.976,0.98,0.98,0.98,0.979,0.976
0.979,0.979,0.975,0.975,0.979,0.978,0.979,0.978,0.975
0.978,0.978,0.974,0.974,0.978,0.977,0.978,0.977,0.974
0.977,0.977,0.973,0.973,0.977,0.976,0.977,0.976,0.973
0.976,0.976,0.972,0.972,0.976,0.975,0.976,0.975,0.972
0.975,0.975,0.971,0.971,0.975,0.971,0.973,0.974,0.971
0.974,0.974,0.97,0.97,0.974,0.97,0.973,0.973,0.97
0.973,0.973,0.969,0.969,0.973,0.969,0.971,0.972,0.969
0.972,0.972,0.968,0.968,0.972,0.968,0.969,0.971,0.968
0.971,0.971,0.967,0.967,0.971,0.967,0.965,0.97,0.967
0.954,0.97,0.966,0.966,0.97,0.966,0.963,0.969,0.966
0.953,0.969,0.965,0.965,0.969,0.965,0.96,0.968,0.965
0.952,0.968,0.964,0.964,0.968,0.964,0.957,0.966,0.964
0.94,0.967,0.963,0.963,0.967,0.963,0.956,0.966,0.963
0.939,0.966,0.961,0.962,0.966,0.962,0.955,0.965,0.962
0.938,0.965,0.957,0.961,0.965,0.961,0.953,0.964,0.961
0.937,0.964,0.954,0.96,0.964,0.96,0.951,0.963,0.96
0.936,0.963,0.953,0.959,0.963,0.959,0.949,0.962,0.959
0.935,0.962,0.952,0.956,0.962,0.958,0.947,0.961,0.956
0.934,0.961,0.939,0.955,0.961,0.957,0.947,0.96,0.955
0.933,0.96,0.936,0.954,0.96,0.956,0.946,0.959,0.954
0.932,0.959,0.923,0.953,0.959,0.955,0.945,0.958,0.953
0.931,0.958,0.922,0.952,0.958,0.954,0.944,0.957,0.952
0.929,0.957,0.921,0.951,0.957,0.953,0.943,0.956,0.951
0.928,0.956,0.92,0.95,0.956,0.952,0.942,0.955,0.95
0.927,0.955,0.917,0.949,0.955,0.951,0.94,0.954,0.949
0.926,0.954,0.916,0.947,0.954,0.948,0.939,0.953,0.947
0.925,0.953,0.915,0.946,0.953,0.947,0.938,0.952,0.946
0.924,0.952,0.914,0.945,0.952,0.946,0.935,0.951,0.945
0.923,0.951,0.913,0.944,0.951,0.945,0.935,0.95,0.944
0.922,0.95,0.913,0.929,0.95,0.944,0.934,0.949,0.929
0.921,0.949,0.913,0.928,0.949,0.943,0.933,0.948,0.928
0.92,0.948,0.912,0.928,0.948,0.941,0.932,0.946,0.928
0.919,0.947,0.911,0.927,0.947,0.94,0.93,0.945,0.927
0.918,0.946,0.911,0.926,0.946,0.939,0.929,0.944,0.926
0.917,0.945,0.91,0.904,0.945,0.938,0.928,0.943,0.904
0.916,0.944,0.91,0.903,0.944,0.937,0.927,0.942,0.903
