_back,_rand,_degree,_adpDegree,_FD,_MS,_PR,_DND,_Core,_control
0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706
0.704,0.702,0.706,0.706,0.705,0.705,0.704,0.706,0.706,0.706
0.7,0.701,0.706,0.706,0.702,0.704,0.697,0.706,0.706,0.706
0.69,0.699,0.706,0.706,0.7,0.704,0.684,0.706,0.706,0.706
0.688,0.698,0.704,0.704,0.699,0.704,0.662,0.706,0.704,0.706
0.686,0.696,0.704,0.704,0.697,0.703,0.647,0.706,0.704,0.706
0.676,0.696,0.704,0.704,0.694,0.697,0.647,0.706,0.704,0.706
0.675,0.695,0.704,0.704,0.693,0.692,0.637,0.706,0.704,0.706
0.664,0.694,0.704,0.704,0.691,0.69,0.598,0.705,0.704,0.706
0.663,0.694,0.704,0.704,0.682,0.687,0.598,0.704,0.704,0.706
0.656,0.693,0.704,0.704,0.68,0.686,0.598,0.702,0.704,0.706
0.643,0.692,0.703,0.703,0.671,0.684,0.598,0.702,0.703,0.706
0.641,0.691,0.703,0.703,0.669,0.683,0.581,0.701,0.703,0.705
0.623,0.69,0.703,0.701,0.666,0.682,0.555,0.7,0.701,0.705
0.622,0.69,0.702,0.7,0.662,0.682,0.555,0.699,0.7,0.704
0.62,0.689,0.7,0.699,0.66,0.679,0.555,0.699,0.699,0.703
0.619,0.685,0.7,0.698,0.656,0.678,0.547,0.698,0.698,0.698
0.616,0.685,0.699,0.698,0.655,0.676,0.547,0.697,0.698,0.698
0.615,0.684,0.699,0.697,0.654,0.676,0.546,0.695,0.697,0.698
0.614,0.683,0.699,0.697,0.652,0.674,0.542,0.694,0.697,0.698
0.591,0.682,0.698,0.697,0.649,0.673,0.542,0.693,0.697,0.698
0.59,0.681,0.697,0.697,0.647,0.672,0.542,0.692,0.697,0.698
0.587,0.681,0.697,0.696,0.645,0.671,0.542,0.691,0.696,0.698
0.579,0.681,0.697,0.696,0.642,0.654,0.542,0.69,0.696,0.697
0.578,0.681,0.696,0.696,0.641,0.653,0.542,0.69,0.696,0.692
0.577,0.676,0.696,0.696,0.638,0.65,0.54,0.689,0.696,0.692
0.576,0.675,0.696,0.695,0.636,0.65,0.54,0.688,0.695,0.692
0.57,0.673,0.696,0.694,0.631,0.65,0.54,0.687,0.694,0.692
0.57,0.673,0.696,0.694,0.627,0.65,0.54,0.685,0.694,0.692
0.57,0.673,0.696,0.694,0.625,0.649,0.54,0.684,0.694,0.692
0.568,0.672,0.696,0.694,0.616,0.649,0.54,0.683,0.694,0.692
